dataset,operation,2xx_code,4xx_code,operation_id,method,path,normalized_operation
GitLabCommit,GET /projects/{id}/repository/commits/{sha}/merge_requests,200,400,,GET,/projects/{id}/repository/commits/{sha}/merge_requests,get_projects_id_repository_commits_sha_merge_requests
GitLabCommit,GET /projects/{id}/repository/commits/{sha}/signature,200,400,,GET,/projects/{id}/repository/commits/{sha}/signature,get_projects_id_repository_commits_sha_signature
GitLabGroups,GET /groups,200,400,,GET,/groups,get_groups
GitLabGroups,POST /groups,201,400,,POST,/groups,post_groups
GitLabGroups,GET /groups/{id},200,400,,GET,/groups/{id},get_groups_id
GitLabGroups,PUT /groups/{id},200,400,,PUT,/groups/{id},put_groups_id
GitLabGroups,DELETE /groups/{id},202,400,,DELETE,/groups/{id},delete_groups_id
GitLabGroups,POST /groups/{id}/share,200,400,,POST,/groups/{id}/share,post_groups_id_share
GitLabGroups,DELETE /groups/{id}/share/{group_id},204,400,,DELETE,/groups/{id}/share/{group_id},delete_groups_id_share_group_id
GitLabGroups,GET /groups/{id}/subgroups,200,400,,GET,/groups/{id}/subgroups,get_groups_id_subgroups
GitLabGroups,GET /groups/{id}/hooks,200,400,,GET,/groups/{id}/hooks,get_groups_id_hooks
GitLabGroups,POST /groups/{id}/hooks,201,400,,POST,/groups/{id}/hooks,post_groups_id_hooks
GitLabGroups,GET /groups/{id}/hooks/{hook_id},200,400,,GET,/groups/{id}/hooks/{hook_id},get_groups_id_hooks_hook_id
GitLabGroups,PUT /groups/{id}/hooks/{hook_id},200,400,,PUT,/groups/{id}/hooks/{hook_id},put_groups_id_hooks_hook_id
GitLabGroups,DELETE /groups/{id}/hooks/{hook_id},204,400,,DELETE,/groups/{id}/hooks/{hook_id},delete_groups_id_hooks_hook_id
GitLabGroups,GET /groups/{id}/descendant_groups,200,400,,GET,/groups/{id}/descendant_groups,get_groups_id_descendant_groups
GitLabGroups,GET /groups/{id}/projects,200,400,,GET,/groups/{id}/projects,get_groups_id_projects
GitLabGroups,POST /groups/{id}/projects/{project_id},201,400,,POST,/groups/{id}/projects/{project_id},post_groups_id_projects_project_id
GitLabGroups,GET /groups/{id}/projects/shared,200,400,,GET,/groups/{id}/projects/shared,get_groups_id_projects_shared
GitLabIssues,GET /projects,200,400,,GET,/projects,get_projects
GitLabIssues,POST /projects,201,400,,POST,/projects,post_projects
GitLabIssues,GET /issues,200,400,,GET,/issues,get_issues
GitLabIssues,GET /issues/{id},200,400,,GET,/issues/{id},get_issues_id
GitLabIssues,GET /groups,200,400,,GET,/groups,get_groups
GitLabIssues,POST /groups,201,400,,POST,/groups,post_groups
GitLabIssues,GET /groups/{id}/issues,200,400,,GET,/groups/{id}/issues,get_groups_id_issues
GitLabIssues,GET /projects/{id}/issues,200,400,,GET,/projects/{id}/issues,get_projects_id_issues
GitLabIssues,POST /projects/{id}/issues,201,400,,POST,/projects/{id}/issues,post_projects_id_issues
GitLabIssues,GET /projects/{id}/issues/{issue_iid},200,400,,GET,/projects/{id}/issues/{issue_iid},get_projects_id_issues_issue_iid
GitLabIssues,PUT /projects/{id}/issues/{issue_iid},200,400,,PUT,/projects/{id}/issues/{issue_iid},put_projects_id_issues_issue_iid
GitLabIssues,DELETE /projects/{id}/issues/{issue_iid},204,400,,DELETE,/projects/{id}/issues/{issue_iid},delete_projects_id_issues_issue_iid
GitLabIssues,PUT /projects/{id}/issues/{issue_iid}/reorder,200,400,,PUT,/projects/{id}/issues/{issue_iid}/reorder,put_projects_id_issues_issue_iid_reorder
GitLabIssues,POST /projects/{id}/issues/{issue_iid}/move,200,400,,POST,/projects/{id}/issues/{issue_iid}/move,post_projects_id_issues_issue_iid_move
GitLabIssues,POST /projects/{id}/issues/{issue_iid}/subscribe,201,400,,POST,/projects/{id}/issues/{issue_iid}/subscribe,post_projects_id_issues_issue_iid_subscribe
GitLabIssues,POST /projects/{id}/issues/{issue_iid}/unsubscribe,201,400,,POST,/projects/{id}/issues/{issue_iid}/unsubscribe,post_projects_id_issues_issue_iid_unsubscribe
GitLabIssues,POST /projects/{id}/issues/{issue_iid}/todo,201,400,,POST,/projects/{id}/issues/{issue_iid}/todo,post_projects_id_issues_issue_iid_todo
GitLabIssues,POST /projects/{id}/issues/{issue_iid}/time_estimate,201,400,,POST,/projects/{id}/issues/{issue_iid}/time_estimate,post_projects_id_issues_issue_iid_time_estimate
GitLabIssues,POST /projects/{id}/issues/{issue_iid}/reset_time_estimate,201,400,,POST,/projects/{id}/issues/{issue_iid}/reset_time_estimate,post_projects_id_issues_issue_iid_reset_time_estimate
GitLabIssues,POST /projects/{id}/issues/{issue_iid}/add_spent_time,201,400,,POST,/projects/{id}/issues/{issue_iid}/add_spent_time,post_projects_id_issues_issue_iid_add_spent_time
GitLabIssues,POST /projects/{id}/issues/{issue_iid}/reset_spent_time,201,400,,POST,/projects/{id}/issues/{issue_iid}/reset_spent_time,post_projects_id_issues_issue_iid_reset_spent_time
GitLabIssues,GET /projects/{id}/issues/{issue_iid}/time_stats,200,400,,GET,/projects/{id}/issues/{issue_iid}/time_stats,get_projects_id_issues_issue_iid_time_stats
GitLabIssues,GET /projects/{id}/issues/{issue_iid}/related_merge_requests,200,400,,GET,/projects/{id}/issues/{issue_iid}/related_merge_requests,get_projects_id_issues_issue_iid_related_merge_requests
GitLabIssues,GET /projects/{id}/issues/{issue_iid}/closed_by,200,400,,GET,/projects/{id}/issues/{issue_iid}/closed_by,get_projects_id_issues_issue_iid_closed_by
GitLabIssues,GET /projects/{id}/issues/{issue_iid}/participants,200,400,,GET,/projects/{id}/issues/{issue_iid}/participants,get_projects_id_issues_issue_iid_participants
GitLabIssues,GET /projects/{id}/issues/{issue_iid}/metric_images,200,400,,GET,/projects/{id}/issues/{issue_iid}/metric_images,get_projects_id_issues_issue_iid_metric_images
GitLabIssues,POST /projects/{id}/issues/{issue_iid}/metric_images,201,400,,POST,/projects/{id}/issues/{issue_iid}/metric_images,post_projects_id_issues_issue_iid_metric_images
GitLabProject,GET /projects,200,400,,GET,/projects,get_projects
GitLabProject,POST /projects,201,400,,POST,/projects,post_projects
GitLabProject,POST /projects/user/{user_id},201,400,,POST,/projects/user/{user_id},post_projects_user_user_id
GitLabProject,GET /projects/{id},200,400,,GET,/projects/{id},get_projects_id
GitLabProject,PUT /projects/{id},201,400,,PUT,/projects/{id},put_projects_id
GitLabProject,DELETE /projects/{id},204,400,,DELETE,/projects/{id},delete_projects_id
GitLabProject,GET /projects/{id}/users,200,400,,GET,/projects/{id}/users,get_projects_id_users
GitLabProject,POST /projects/{id}/fork,201,400,,POST,/projects/{id}/fork,post_projects_id_fork
GitLabProject,DELETE /projects/{id}/fork,204,400,,DELETE,/projects/{id}/fork,delete_projects_id_fork
GitLabProject,GET /projects/{id}/forks,200,400,,GET,/projects/{id}/forks,get_projects_id_forks
